TITEL;@Bild;Archivnummer;Schlagworte
1. FC Koeln_Flaggen klein;../LZ_Neue Bildsprache_Rollout_Studios/Themenpool_Moodbilder_NEU/Aktivit�ten/Fussball_1FC/1.FC/1.FC_Koeln_Flaggen_klein/LZ_TB_1FC_Koeln_61039942_32zu9.jpg;61039942;FC Köln Fans, Stadionatmosphäre, Fußballfankultur, Rote und weiße Schals, Bundesliga, Fußballstadion, Teamunterstützung, Fan-Choreografie, Fußballliebe, Vereinsfarben, Fusballschal, Fußball
1FC Köln Flagge_1;V:\Sonderprojekte\LZ_Neue Bildsprache_Rollout_Studios\Themenpool_Moodbilder_NEU\Aktivitätet\Fussball (1.FC)\1.FC\1FC Köln Flagge 01\LZ_TB_1FC_Köln_40717589_32zu9.jpg ;40717589;1 FC Köln, Fans, Stadion, Fanblock, Fußball, Bundesliga, Fankultur, Rot-Weiß, Schals, Unterstützung
1FC Köln Flagge_2;V:\Sonderprojekte\LZ_Neue Bildsprache_Rollout_Studios\Themenpool_Moodbilder_NEU\Aktivitätet\Fussball (1.FC)\1.FC\1FC Köln Flagge 02\LZ_TB_1FC_Köln_4425542_32zu9.jpg ;4425542;1 FC Köln, Fans, Stadion, Fanblock, Fußball, Bundesliga, Fankultur, Rot-Weiß, Schals, Unterstützung
Aasee;V:\Sonderprojekte\LZ_Neue Bildsprache_Rollout_Studios\Themenpool_Moodbilder_NEU\Gebäude_Landmarks\Muenster\Aasee\LZ_TB_Muenster_Aasee_36439630_32zu9.jpg ;36439630;Aasee, Münster, Park, Frühling, Picknick, Segelboote, Freizeit, Entspannung, Natur, Outdoor-Aktivitäten
Abend/ Nacht;V:\Sonderprojekte\LZ_Neue Bildsprache_Rollout_Studios\Themenpool_Moodbilder_NEU\Tageszeiten\Abend_Nacht\LZ_TB_Nacht_1402881_32zu9.jpg ;1402881;Wolken, Vogel, düsterer Himmel, Silhouette, stürmisch, Sonnenstrahlen, Natur, Dramatik, Abendhimmel, Fliegen, Abend, Nacht
Abstrakt_wissenschaftlich;V:\Sonderprojekte\LZ_Neue Bildsprache_Rollout_Studios\Themenpool_Moodbilder_NEU\Abstrakt\Abstrakt_wissenschaftlich\TB_LZ_abstrakt_63757244_32zu9.jpg ;63757244;abstrakte Wellen, digitale Kunst, farbige Lichtstreifen, fließende Bewegung, Glüheffekte, violette und rote Töne, futuristisches Design, Energiefluss, moderne Ästhetik, Traumlandschaft, abstraktes Licht
Advent1;V:\Sonderprojekte\LZ_Neue Bildsprache_Rollout_Studios\Themenpool_Moodbilder_NEU\Feiertage_Events\Advent\Advent1\LZ_TB_Advent1_41127900_32zu9.jpg ;41127900;Adventskranz, rote Kerzen, weihnachtliche Beleuchtung, festliche Stimmung, Tannenzweige, warmes Kerzenlicht, Adventsdekoration, Bokeh Lichter, besinnliche Atmosphäre, Weihnachtszeit, Weihnachten
Advent2;V:\Sonderprojekte\LZ_Neue Bildsprache_Rollout_Studios\Themenpool_Moodbilder_NEU\Feiertage_Events\Advent\Advent2\LZ_TB_Advent2_59769075_32zu9.jpg ;59769075;Adventskranz, violette Kerzen, Weihnachtsdekoration, Tannenzweige, warmes Kerzenlicht, festliche Beleuchtung, besinnliche Adventszeit, weihnachtliche Stimmung, Bokeh Lichter, Naturdekoration, Weihnachten
Advent3;V:\Sonderprojekte\LZ_Neue Bildsprache_Rollout_Studios\Themenpool_Moodbilder_NEU\Feiertage_Events\Advent\Advent3\LZ_TB_Advent3_60779798_32zu9.jpg ;60779798;Adventskranz, rote Kerzen, Tannenzweige, Weihnachtsdekoration, festliche Stimmung, warmes Kerzenlicht, Naturmaterialien, besinnliche Adventszeit, Weihnachtsatmosphäre, Weihnachten
Altersarmut_1;V:\Sonderprojekte\LZ_Neue Bildsprache_Rollout_Studios\Themenpool_Moodbilder_NEU\Soziales\Altersarmut\Altersarmut_1\LZ_TB_Altersarmut_1_594588_32zu9.jpg ;594588;Arbeitsarmut, Schatten, Frauen, Silhouette, Spaziergang, Asphalt, Handtasche, Schuhe, Sonnenlicht, Straße, Perspektive
